post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
49445252,Disrupting a new covert influence campaign from Russia,sports,96,66,sam_lowry_,2026-08-29 10:11:26,0.6804123711340206,False
49480534,Mobile Games Designed to Be Addictive Get More Kid-Friendly,sports,8,0,BloodOrb2,2026-08-29 10:11:26,0.0,False
49463464,Two Alleged 'TeamPCP' Hackers Arrested in Australia,sports,20,2,hacb,2026-08-29 10:11:26,0.09523809523809523,False
49422784,The entire city of San Francisco as a video game,sports,608,171,centrosphere,2026-08-29 10:11:26,0.28078817733990147,True
49477732,Authorities arrest 2 alleged members of prolific hacking group TeamPCP,sports,8,0,furcyd,2026-08-29 10:11:26,0.0,False
49477504,Ask HN: Any blogs/personal notes from game devs who self-published a game?,sports,5,0,ssenssei,2026-08-29 10:11:26,0.0,False
49459061,Meta's self-inflicted resignation-wave,sports,44,1,andsoitis,2026-08-29 10:11:26,0.022222222222222223,False
49455695,Show HN: Every push-up becomes an attack in a camera-counted RPG game,sports,21,7,not_wowinter13,2026-08-29 10:11:26,0.3181818181818182,False
49469249,Nvidia Starts Pac as AI Chip Maker Builds DC Influence Force,sports,91,40,rarisma,2026-08-29 10:11:26,0.43478260869565216,False
49486172,Our decision on Cursor following its acquisition by SpaceX,science,216,80,meetpateltech,2026-08-29 10:11:26,0.3686635944700461,True
49481455,Autonomous Mathematical Discovery in an Open-World Multi-Agent Environment,science,89,23,stephenchung,2026-08-29 10:11:26,0.25555555555555554,False
49486297,Our decision on Cursor following its acquisition by SpaceX,science,10,1,qainsights,2026-08-29 10:11:26,0.09090909090909091,False
49477925,Interactive pattern discovery in binaries (FF-16-TUI),science,28,3,HexLasso,2026-08-29 10:11:26,0.10344827586206896,False
49482833,Nancy Grace Roman Space Telescope Launches this Sunday,science,6,0,topspin,2026-08-29 10:11:26,0.0,False
49466989,Why HPSC Is a Big Deal for Space Exploration,science,27,8,mooreds,2026-08-29 10:11:26,0.2857142857142857,False
49477561,"Canada recruits foreign scientists, researchers poaching many from U.S.",science,12,1,BiraIgnacio,2026-08-29 10:11:26,0.07692307692307693,False
49467699,Compromising Signal's Contact Discovery Enclave (SGX),science,12,4,RobLach,2026-08-29 10:11:26,0.3076923076923077,False
49420530,Peppermint oil reduces blood pressure by 8.48 mmHg in small study,science,230,108,brandonb,2026-08-29 10:11:26,0.4675324675324675,True
49453656,"In Hilbert Space, All Things Are Quantumly Possible",science,10,1,ibobev,2026-08-29 10:11:26,0.09090909090909091,False
49450500,Show HN: TexLite – A lightweight self-hosted LaTeX workspace,science,21,2,thisispi,2026-08-29 10:11:26,0.09090909090909091,False
49418813,Review: Chuwi's $449 Unibook laptop is a funhouse-mirror MacBook Neo,entertainment,11,2,rbanffy,2026-08-29 10:11:26,0.16666666666666666,False
49483038,"Show HN: Sesame - a local-first, open-source password manager",entertainment,44,50,d0mkaaa,2026-08-29 10:11:26,1.1111111111111112,False
49476894,Show HN: SubSmith – Turn your own videos into language-learning material,entertainment,64,51,IbrahimF96,2026-08-29 10:11:26,0.7846153846153846,False
49481956,Show HN: Blast – Open-source sandbox-as-a-service,entertainment,9,0,calebhwin,2026-08-29 10:11:26,0.0,False
49461817,Show HN: The load-bearing vocabulary of Claude,entertainment,653,315,Labo333,2026-08-29 10:11:26,0.481651376146789,True
49471965,"Show HN: OpenTIE and OpenXWA, Modern Ports of Tie Fighter and X-Wing Alliance",entertainment,217,54,elyosh,2026-08-29 10:11:26,0.24770642201834864,True
49483173,"Show HN: Conduct, open-source guardrails for LLM and MCP tool calls",entertainment,20,3,sudhendra1,2026-08-29 10:11:26,0.14285714285714285,False
49466704,"Show HN: Watches user sessions, finds bugs that matter, and fixes them",entertainment,35,11,aray07,2026-08-29 10:11:26,0.3055555555555556,False
49482925,The Analytical AI Handbook,entertainment,46,2,sethkim,2026-08-29 10:11:26,0.0425531914893617,False
49471407,Show HN: We built open OpenRouter that turns usage into a better model,entertainment,208,46,SilenN,2026-08-29 10:11:26,0.22009569377990432,True
49450816,"Show HN: A lightweight, stateless database for agent memory",entertainment,34,12,anuptalwalkar,2026-08-29 10:11:26,0.34285714285714286,False
49480266,Show HN: OpenLayer – local Photoshop plugin for ComfyUI (inpaint/outpaint demo),entertainment,5,0,HMUSER,2026-08-29 10:11:26,0.0,False
49468816,Show HN: Voronoi Go,entertainment,154,26,igpay,2026-08-29 10:11:26,0.16774193548387098,True
49467551,"Show HN: My Claude quota ran out in 10 minutes, so I made a tool to find out why",entertainment,86,62,sachinneravath,2026-08-29 10:11:26,0.7126436781609196,False
49475159,"Show HN: FnScribe – Open-source, offline dictation for macOS",entertainment,20,14,modagent,2026-08-29 10:11:26,0.6666666666666666,False
49452037,Show HN: Build your own theme park,entertainment,52,25,thealexanderlee,2026-08-29 10:11:26,0.4716981132075472,False
49465291,Show HN: Restoredrill – proves your Postgres backups restore,entertainment,46,22,ahmadpiran,2026-08-29 10:11:26,0.46808510638297873,False
49464459,Show HN: RealDiff – runtime behavior diffing for pull requests (six languages),entertainment,40,10,issacnitin,2026-08-29 10:11:26,0.24390243902439024,False
